,Player,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Based,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,drTkl,Att,Tkl%,Lost,Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Position,Total Cmp%,TotDist,PrgDist,Short Cmp%,Medium Cmp%,Long Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,xG_On-Off,player_code,country_of_birth,sub_position,foot,height_in_cm,market_value_in_eur,fee,transfer_period,Target
152,Nikola Vlašić,Torino,24,97,30.3,5,53,21,39.6,1.75,0.69,0.09,0.24,18.0,1,0,0,4.3,4.3,0.08,+0.7,+0.7,Serie A,32,21,9,16,7,15,34,44.1,19,25,2,23,10,42,14,0,Midfielder,79.0,10928,2475,87.8,81.8,67.7,6,4.1,3.3,63,70,26,8,106,1.35,33,30,+3,0.1,+0.36,33.6,33.7,-0.2,-0.01,-0.26,nikola-vlasic97,Croatia,Attacking Midfield,right,178.0,20000000,0.0,Summer,1.5150000000000061
153,Andrea Belotti,Roma,28,93,12.7,0,19,9,47.4,1.49,0.71,0.00,0.00,12.7,0,0,1,3.5,2.7,0.14,-3.5,-2.7,Serie A,12,5,3,5,4,5,11,45.5,6,11,1,10,3,15,5,0,Forward,66.3,2169,381,76.3,72.6,55.6,2,1.6,0.7,14,6,5,0,13,1.58,19,17,+2,0.16,-0.24,21.9,10.0,+11.9,+0.94,+0.41,andrea-belotti93,Italy,Centre-Forward,right,181.0,9000000,0.0,Summer,-0.6349999999999988
154,Zeki Çelik,Roma,25,97,16.7,0,5,1,20.0,0.30,0.06,0.00,0.00,17.6,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Serie A,42,21,19,21,2,24,41,58.5,17,33,6,27,14,56,36,2,Defender,75.2,11222,4779,89.5,77.4,47.6,1,1.6,1.4,16,55,24,7,67,1.79,22,17,+5,0.3,-0.03,24.3,13.7,+10.6,+0.63,-0.06,zeki-celik97,Turkey,Right-Back,right,180.0,10000000,7000000.0,Summer,6.847000000000001
155,Paulo Dybala,Roma,28,93,19.3,12,60,18,30.0,3.11,0.93,0.12,0.39,20.7,3,5,5,9.3,5.3,0.09,+2.7,+1.7,Serie A,14,4,1,8,5,8,26,30.8,18,12,1,11,8,22,4,0,Midfielder,78.0,11560,2954,88.5,80.4,67.1,6,6.9,4.5,53,49,21,1,75,1.81,35,21,+14,0.72,+0.83,32.8,14.7,+18.0,+0.93,+0.54,paulo-dybala93,Argentina,Second Striker,left,177.0,30000000,0.0,Summer,11.966000000000003
156,Diego Llorente,Roma,28,93,6.4,0,4,1,25.0,0.63,0.16,0.00,0.00,11.4,0,0,0,0.4,0.4,0.10,-0.4,-0.4,Serie A,10,5,6,4,0,5,12,41.7,7,4,2,2,11,21,20,0,Defender,88.0,4937,1576,91.7,92.8,68.8,0,0.1,0.1,1,15,0,0,12,1.78,12,7,+5,0.79,+0.56,11.9,6.4,+5.5,+0.87,+0.25,diego-llorente93,Spain,Centre-Back,right,186.0,12000000,0.0,Winter,5.760000000000002
157,Nemanja Matić,Roma,33,88,20.6,2,11,4,36.4,0.53,0.19,0.18,0.50,16.3,0,0,0,1.0,1.0,0.09,+1.0,+1.0,Serie A,47,27,24,19,4,19,33,57.6,14,27,7,20,25,72,21,1,Midfielder,85.6,19601,6044,92.1,89.0,69.3,2,2.6,1.9,24,136,16,3,134,1.69,34,23,+11,0.53,+0.48,33.8,20.2,+13.7,+0.67,0.00,nemanja-matic88,Jugoslawien (SFR),Defensive Midfield,left,194.0,4000000,0.0,Summer,8.858000000000006
158,Ola Solbakken,Roma,23,98,5.6,1,9,1,11.1,1.61,0.18,0.11,1.00,17.1,1,0,0,0.6,0.6,0.07,+0.4,+0.4,Serie A,2,2,1,1,0,2,7,28.6,5,2,0,2,2,4,8,0,Midfielder,70.4,1770,364,80.5,79.6,35.0,2,1.6,1.0,11,7,4,1,14,1.43,7,4,+3,0.54,+0.26,6.9,3.9,+2.9,+0.52,-0.17,ola-solbakken98,Norway,Right Winger,left,186.0,3500000,0.0,Winter,2.4640000000000013
159,Benjamin Tahirovic,Roma,19,03,3.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Serie A,8,5,5,2,1,4,12,33.3,8,9,4,5,3,11,3,0,Midfielder,85.3,2282,474,90.9,87.5,73.7,0,0.2,0.2,4,8,2,2,9,1.27,7,5,+2,0.51,+0.21,6.7,4.2,+2.5,+0.64,-0.03,benjamin-tahirovic03,Sweden,Central Midfield,right,193.0,1000000,0.0,Winter,1.5990000000000006
160,Georginio Wijnaldum,Roma,31,90,8.5,2,20,4,20.0,2.34,0.47,0.10,0.50,15.2,0,0,0,2.2,2.2,0.11,-0.2,-0.2,Serie A,4,3,1,3,0,0,2,0.0,2,7,1,6,2,6,3,0,Midfielder,82.8,2254,502,87.3,88.3,71.4,0,0.7,0.8,8,9,6,2,18,1.71,14,9,+5,0.59,+0.35,14.2,8.3,+6.0,+0.70,+0.04,georginio-wijnaldum90,Netherlands,Central Midfield,right,175.0,12000000,0.0,Summer,4.165000000000001
161,Bartosz Bereszyński,Napoli,30,92,1.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Serie A,3,2,1,1,1,2,2,100.0,0,4,0,4,3,6,3,0,Defender,82.9,1252,420,91.5,78.8,80.0,1,0.2,0.1,2,5,3,0,7,1.33,3,4,-1,-0.54,-1.93,2.1,3.3,-1.2,-0.64,-1.59,bartosz-bereszynski92,Poland,Right-Back,right,183.0,2000000,0.0,Winter,-0.8820000000000001
162,Gianluca Gaetano,Napoli,22,00,0.8,1,7,5,71.4,8.29,5.92,0.14,0.20,18.3,0,0,0,1.1,1.1,0.15,-0.1,-0.1,Serie A,5,3,1,3,1,0,0,,0,1,0,1,1,6,0,0,Midfielder,77.4,655,152,96.6,70.0,75.0,1,0.2,0.1,1,3,0,0,4,2.75,4,0,+4,4.74,+3.53,2.1,0.5,+1.6,+2.13,+1.29,gianluca-gaetano00,Italy,Attacking Midfield,right,183.0,4500000,0.0,Summer,3.848
163,Khvicha Kvaratskhelia,Napoli,21,01,28.0,12,83,30,36.1,2.97,1.07,0.12,0.33,19.1,3,2,2,8.2,6.6,0.08,+3.8,+3.4,Serie A,43,23,12,8,23,17,43,39.5,26,20,0,20,5,48,6,1,Forward,79.2,12766,2560,91.5,74.8,53.4,10,7.7,6.6,54,41,46,8,91,2.29,58,21,+37,1.32,+0.13,49.9,23.1,+26.8,+0.96,+0.34,khvicha-kvaratskhelia01,Georgia,Left Winger,both,183.0,85000000,10000000.0,Summer,37.52
164,Tanguy Ndombele,Napoli,25,96,9.0,1,16,2,12.5,1.78,0.22,0.06,0.50,22.4,0,0,0,1.0,1.0,0.06,0.0,0.0,Serie A,14,8,4,8,2,4,7,57.1,3,10,1,9,7,21,7,1,Midfielder,87.8,6796,1666,91.1,92.9,65.5,0,0.5,0.5,9,41,9,0,52,2.43,10,7,+3,0.33,-1.25,12.2,6.7,+5.5,+0.62,-0.32,tanguy-ndombele96,France,Central Midfield,right,181.0,25000000,500000.0,Summer,3.6
165,Mathías Olivera,Napoli,24,97,18.3,2,9,4,44.4,0.49,0.22,0.22,0.50,12.8,0,0,0,0.7,0.7,0.08,+1.3,+1.3,Serie A,39,23,16,16,7,22,43,51.2,21,28,2,26,22,61,26,0,Defender,86.9,16376,4940,93.8,86.3,56.4,2,2.1,2.0,24,100,12,4,88,2.37,29,11,+18,0.99,-0.58,24.8,15.5,+9.3,+0.51,-0.69,mathias-olivera97,Uruguay,Left-Back,left,185.0,18000000,11000000.0,Summer,19.032
166,Giacomo Raspadori,Napoli,22,00,10.1,2,41,16,39.0,4.05,1.58,0.05,0.13,17.1,3,0,0,3.5,3.5,0.09,-1.5,-1.5,Serie A,10,8,0,6,4,4,10,40.0,6,9,0,9,4,14,4,0,Forward,77.0,5535,1098,85.3,82.7,49.2,2,1.3,1.3,18,20,13,1,33,2.24,17,8,+9,0.89,-0.55,16.5,8.7,+7.8,+0.77,-0.13,giacomo-raspadori00,Italy,Second Striker,both,172.0,35000000,5000000.0,Summer,9.191
167,Leo Skiri Østigård,Napoli,22,99,4.7,0,3,0,0.0,0.64,0.00,0.00,,20.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Serie A,4,1,3,1,0,1,1,100.0,0,3,3,0,6,10,18,1,Defender,85.7,6056,2161,91.5,86.7,74.5,0,0.0,0.1,0,26,0,0,23,2.71,8,3,+5,1.07,-0.25,9.7,3.9,+5.8,+1.24,+0.43,leo-skiri-ostigard99,Norway,Centre-Back,right,182.0,7000000,5000000.0,Summer,5.264000000000001
168,Andre-Frank Zambo Anguissa,Napoli,26,95,33.9,3,50,15,30.0,1.48,0.44,0.06,0.20,18.1,1,0,0,4.4,4.4,0.09,-1.4,-1.4,Serie A,53,32,16,29,8,16,64,25.0,48,50,4,46,49,102,25,0,Midfielder,87.9,28244,6636,92.4,88.6,67.7,5,2.6,2.4,33,185,25,0,181,2.33,69,26,+43,1.27,-0.19,56.4,28.7,+27.7,+0.82,-0.46,andre-frank-zambo-anguissa95,Cameroon,Central Midfield,right,184.0,40000000,15000000.0,Summer,45.426
169,Beto,Udinese,24,98,23.7,10,60,20,33.3,2.54,0.85,0.15,0.45,13.7,0,1,1,10.9,10.1,0.17,-0.9,-1.1,Serie A,16,9,0,9,7,4,17,23.5,13,18,3,15,6,22,30,0,Forward,63.5,2421,295,71.5,59.7,53.8,1,2.6,1.9,23,9,4,0,13,1.27,25,31,-6,-0.25,-0.60,31.2,32.7,-1.5,-0.06,+0.18,beto98,Portugal,Centre-Forward,right,194.0,13000000,7000000.0,Summer,-13.509
170,Jaka Bijol,Udinese,23,99,30.3,3,20,7,35.0,0.66,0.23,0.15,0.43,9.5,0,0,0,2.2,2.2,0.11,+0.8,+0.8,Serie A,39,23,32,7,0,16,27,59.3,11,41,25,16,29,68,165,0,Defender,84.7,24657,10028,87.7,93.3,61.3,2,1.6,1.7,9,54,5,1,66,1.19,34,38,-4,-0.13,-0.52,35.7,41.9,-6.2,-0.20,-0.37,jaka-bijol99,Slovenia,Centre-Back,right,190.0,10000000,4000000.0,Summer,4.847999999999999
171,Leonardo Buta,Udinese,20,02,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Serie A,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,Defender,76.9,166,54,100.0,60.0,100.0,0,0.0,0.0,0,0,0,0,1,0.00,0,1,-1,-5.63,-5.63,0.3,0.9,-0.6,-3.23,-3.12,leonardo-buta02,Portugal,Left-Back,left,182.0,2000000,2000000.0,Summer,-1.068
172,Festy Ebosele,Udinese,19,02,4.6,0,4,1,25.0,0.88,0.22,0.00,0.00,21.5,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Serie A,15,10,8,7,0,4,10,40.0,6,5,0,5,2,17,5,0,Defender,66.9,1691,748,81.3,69.6,52.9,1,0.9,0.5,5,9,9,5,17,1.06,3,5,-2,-0.44,-0.47,4.4,5.6,-1.2,-0.26,-0.15,festy-ebosele02,Ireland,Right-Back,right,180.0,3500000,0.0,Summer,-0.6900000000000001
173,Enzo Ebosse,Udinese,23,99,10.3,0,3,0,0.0,0.29,0.00,0.00,,26.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Serie A,15,9,11,4,0,9,13,69.2,4,27,6,21,11,26,29,0,Defender,81.3,8801,3202,89.1,84.6,63.7,0,0.0,0.1,1,43,4,1,51,1.15,15,14,+1,0.1,+0.17,13.0,13.5,-0.4,-0.04,+0.12,enzo-ebosse99,France,Centre-Back,left,185.0,4500000,4000000.0,Summer,4.017
174,Kingsley Ehizibue,Udinese,27,95,17.1,2,13,6,46.2,0.76,0.35,0.15,0.33,15.1,0,0,0,2.0,2.0,0.16,0.0,0.0,Serie A,47,31,28,13,6,29,45,64.4,16,21,3,18,10,57,42,1,Defender,72.9,6819,2543,83.0,78.2,55.9,0,0.9,1.1,8,32,12,7,40,1.30,24,24,0,0.0,+0.05,22.4,24.0,-1.6,-0.10,+0.06,kingsley-ehizibue95,Germany,Right-Back,right,189.0,2300000,1500000.0,Summer,4.959
175,Axel Guessand,Udinese,17,04,0.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Serie A,2,1,2,0,0,1,2,50.0,1,1,0,1,2,4,3,0,Defender,77.3,291,107,88.9,87.5,50.0,0,0.0,0.0,0,0,0,0,0,0.00,0,1,-1,-1.14,-1.14,0.5,1.2,-0.7,-0.83,-0.72,axel-guessand04,France,Centre-Back,left,184.0,300000,0.0,Summer,-0.7649999999999999
176,Sandi Lovrić,Udinese,24,98,25.9,5,71,18,25.4,2.74,0.69,0.07,0.28,22.3,4,0,0,4.8,4.8,0.07,+0.2,+0.2,Serie A,40,18,16,16,8,25,43,58.1,18,25,2,23,26,66,21,0,Midfielder,79.6,12855,3831,87.5,83.1,58.5,6,3.2,3.0,47,86,24,10,105,1.22,29,34,-5,-0.19,-0.52,30.5,36.7,-6.1,-0.24,-0.34,sandi-lovric98,Austria,Central Midfield,right,180.0,7000000,0.0,Summer,-5.698
177,Adam Masina,Udinese,28,94,8.8,2,2,2,100.0,0.23,0.23,1.00,1.00,12.3,0,0,0,0.1,0.1,0.04,+1.9,+1.9,Serie A,10,7,7,3,0,6,15,40.0,9,11,4,7,10,20,28,1,Defender,77.6,7007,2817,88.0,84.1,56.6,0,0.2,0.3,2,26,5,3,24,1.07,12,14,-2,-0.23,-0.26,11.6,14.8,-3.1,-0.36,-0.30,adam-masina94,Morocco,Left-Back,left,191.0,2500000,5000000.0,Summer,0.5279999999999998
178,Simone Pafundi,Udinese,16,06,0.9,0,1,0,0.0,1.06,0.00,0.00,,20.5,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Serie A,8,5,1,5,2,2,4,50.0,2,0,0,0,1,9,0,0,Midfielder,83.3,801,186,86.1,82.4,62.5,0,0.1,0.1,3,7,2,0,6,1.00,1,2,-1,-1.06,-1.06,1.3,1.7,-0.3,-0.37,-0.24,simone-pafundi06,Italy,Attacking Midfield,left,166.0,3500000,0.0,Summer,-0.9810000000000001
179,Vivaldo Semedo,Udinese,17,05,0.4,0,1,0,0.0,2.50,0.00,0.00,,11.6,0,0,0,0.1,0.1,0.10,-0.1,-0.1,Serie A,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,Forward,85.7,66,22,83.3,100.0,,0,0.0,0.0,0,1,1,0,1,0.20,0,1,-1,-2.5,-2.50,0.5,0.8,-0.3,-0.87,-0.75,vivaldo-semedo05,,Centre-Forward,left,192.0,400000,0.0,Winter,-1.128
180,Florian Thauvin,Udinese,29,93,6.1,0,10,3,30.0,1.65,0.49,0.00,0.00,22.3,0,0,0,0.7,0.7,0.07,-0.7,-0.7,Serie A,2,1,0,2,0,2,13,15.4,11,5,0,5,2,4,2,0,Forward,66.7,2489,708,80.7,71.8,40.5,0,1.1,1.3,10,9,10,2,24,0.88,6,9,-3,-0.49,-0.56,7.5,6.5,+1.0,+0.16,+0.34,florian-thauvin93,France,Right Winger,left,181.0,7500000,0.0,Winter,-4.941
181,Jeremie Boga,Atalanta,25,97,8.7,2,13,3,23.1,1.50,0.35,0.15,0.67,20.2,2,0,0,1.9,1.9,0.14,+0.1,+0.1,Serie A,9,5,3,2,4,2,5,40.0,3,6,0,6,1,10,1,0,Midfielder,80.2,5908,1552,86.9,83.2,61.3,5,2.8,3.3,34,23,24,8,53,1.57,19,14,+5,0.58,+0.13,14.9,9.0,+5.9,+0.68,+0.33,jeremie-boga97,France,Left Winger,right,174.0,15000000,22000000.0,Summer,5.22
182,Merih Demiral,Atalanta,24,98,17.1,1,6,1,16.7,0.35,0.06,0.17,1.00,13.7,0,0,0,0.7,0.7,0.12,+0.3,+0.3,Serie A,41,29,30,11,0,26,36,72.2,10,24,7,17,24,65,57,1,Defender,85.8,10454,2949,90.7,88.8,63.5,0,0.5,0.5,4,14,1,1,26,1.89,24,23,+1,0.06,-0.75,26.5,17.9,+8.5,+0.50,+0.13,merih-demiral98,Turkey,Centre-Back,right,190.0,25000000,20000000.0,Summer,0.513
183,Éderson,Atalanta,23,99,24.6,1,36,10,27.8,1.46,0.41,0.03,0.10,21.3,0,0,0,2.0,2.0,0.06,-1.0,-1.0,Serie A,67,34,18,42,7,29,66,43.9,37,56,7,49,36,103,31,0,Midfielder,81.0,15666,4516,86.2,86.7,72.9,1,2.3,2.1,21,93,15,4,93,1.63,37,31,+6,0.24,-0.65,36.8,27.3,+9.5,+0.38,-0.13,ederson99,Brazil,Central Midfield,right,183.0,20000000,21000000.0,Summer,6.396000000000001
184,Rasmus Højlund,Atalanta,19,03,20.4,9,54,28,51.9,2.65,1.37,0.17,0.32,12.9,0,0,0,9.5,9.5,0.18,-0.5,-0.5,Serie A,4,3,0,2,2,1,6,16.7,5,9,1,8,1,5,5,0,Forward,73.1,4078,574,77.8,77.3,88.9,2,2.4,1.8,24,23,11,1,37,1.69,45,29,+16,0.79,+0.67,34.5,23.1,+11.4,+0.56,+0.29,rasmus-hojlund03,Denmark,Centre-Forward,left,191.0,35000000,17000000.0,Summer,17.136
185,Ademola Lookman,Atalanta,24,97,19.2,13,49,23,46.9,2.55,1.20,0.20,0.43,15.8,1,3,3,9.1,6.7,0.14,+3.9,+3.3,Serie A,13,5,2,6,5,3,15,20.0,12,18,0,18,4,17,1,0,Forward,75.8,6802,2025,85.3,76.2,56.8,6,6.6,4.9,39,30,33,4,79,1.65,38,23,+15,0.78,+0.62,34.7,20.9,+13.8,+0.72,+0.58,ademola-lookman97,England,Second Striker,right,174.0,30000000,9000000.0,Summer,15.936
186,Caleb Okoli,Atalanta,21,01,10.7,0,7,2,28.6,0.66,0.19,0.00,0.00,12.2,0,0,0,0.5,0.5,0.06,-0.5,-0.5,Serie A,21,17,14,6,1,10,25,40.0,15,10,5,5,30,51,44,3,Defender,75.3,5887,2267,82.1,79.9,57.1,0,0.0,0.1,0,11,2,0,19,1.76,19,10,+9,0.84,+0.51,17.3,9.7,+7.6,+0.72,+0.40,caleb-okoli01,Italy,Centre-Back,right,191.0,10000000,0.0,Summer,8.666999999999998
187,Matteo Ruggeri,Atalanta,20,02,9.2,0,10,1,10.0,1.09,0.11,0.00,0.00,16.7,0,0,0,0.6,0.6,0.06,-0.6,-0.6,Serie A,17,12,5,9,3,8,16,50.0,8,14,3,11,12,29,16,0,Defender,81.6,8203,3341,89.4,82.4,63.2,1,0.9,0.9,10,38,12,6,55,1.67,19,13,+6,0.65,+0.23,16.2,9.5,+6.8,+0.73,+0.40,matteo-ruggeri02,Italy,Left-Back,left,187.0,2000000,0.0,Summer,5.704
188,Brandon Soppy,Atalanta,20,02,7.1,0,7,2,28.6,0.98,0.28,0.00,0.00,18.9,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Serie A,8,5,4,4,0,3,9,33.3,6,10,0,10,3,11,7,0,Defender,75.5,3511,1451,87.3,74.1,44.0,3,1.6,1.3,11,27,9,4,33,1.53,10,9,+1,0.14,-0.41,11.4,4.9,+6.5,+0.90,+0.58,brandon-soppy02,France,Right-Back,right,181.0,10000000,9000000.0,Summer,0.781
189,Lukáš Vorlický,Atalanta,20,02,0.3,0,1,1,100.0,3.75,3.75,0.00,0.00,24.1,0,0,0,0.0,0.0,0.05,0.0,0.0,Serie A,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,Midfielder,61.3,271,44,81.3,33.3,66.7,0,0.0,0.0,0,1,1,0,3,0.33,1,1,0,0.0,-0.48,0.6,0.4,+0.2,+0.67,+0.24,lukas-vorlicky02,Czech Republic,Left Winger,right,186.0,100000,0.0,Winter,0.006000000000000001
190,Emil Bohinen,Salernitana,23,99,9.2,0,4,0,0.0,0.43,0.00,0.00,,25.9,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Serie A,25,13,15,8,2,12,23,52.2,11,25,7,18,17,42,21,0,Midfielder,84.3,5591,1452,90.8,87.0,57.1,0,0.7,0.3,12,25,5,1,31,1.21,15,13,+2,0.22,+0.77,9.1,18.2,-9.2,-0.99,-0.25,emil-bohinen99,England,Central Midfield,left,189.0,4000000,3250000.0,Summer,8.832
191,Federico Bonazzoli,Salernitana,25,97,12.4,2,32,7,21.9,2.57,0.56,0.06,0.29,18.9,1,0,0,2.4,2.4,0.07,-0.4,-0.4,Serie A,5,3,0,3,2,0,9,0.0,9,9,1,8,3,8,0,0,Forward,74.6,4654,966,83.3,80.8,69.8,1,1.1,0.7,8,30,6,0,43,0.88,9,14,-5,-0.4,-0.05,10.6,22.4,-11.7,-0.94,-0.21,federico-bonazzoli97,Italy,Centre-Forward,left,182.0,4500000,5000000.0,Summer,-0.37200000000000033
192,Erik Botheim,Salernitana,22,00,9.6,1,7,1,14.3,0.73,0.10,0.14,1.00,13.5,0,0,0,0.6,0.6,0.08,+0.4,+0.4,Serie A,11,7,3,4,4,6,13,46.2,7,3,0,3,0,11,4,0,Midfielder,71.4,2038,460,78.6,71.2,71.4,3,1.8,0.7,9,10,4,0,21,1.29,13,17,-4,-0.42,-0.06,9.2,17.6,-8.4,-0.88,-0.10,erik-botheim00,Norway,Centre-Forward,right,185.0,3800000,0.0,Summer,3.072000000000001
193,Domagoj Bradarić,Salernitana,22,99,25.0,0,7,0,0.0,0.28,0.00,0.00,,23.8,1,0,0,0.2,0.2,0.03,-0.2,-0.2,Serie A,26,19,14,8,4,7,16,43.8,9,20,5,15,21,47,44,0,Defender,74.2,13414,4480,86.4,76.1,38.2,3,2.3,1.5,17,40,17,9,52,1.13,31,44,-13,-0.52,-0.44,22.8,44.3,-21.5,-0.86,-0.17,domagoj-bradaric99,Croatia,Left-Back,left,178.0,5000000,5000000.0,Summer,-3.749999999999998
194,Dylan Bronn,Salernitana,27,95,18.7,0,8,1,12.5,0.43,0.05,0.00,0.00,15.8,0,0,0,0.7,0.7,0.08,-0.7,-0.7,Serie A,34,18,17,16,1,20,30,66.7,10,32,20,12,20,54,58,1,Defender,84.9,15486,6081,91.7,91.9,59.9,0,0.4,0.8,5,62,4,1,70,1.17,24,30,-6,-0.32,+0.09,19.2,34.7,-15.5,-0.83,-0.05,dylan-bronn95,France,Centre-Back,right,186.0,3000000,1000000.0,Summer,0.9350000000000018
195,Antonio Candreva,Salernitana,35,87,30.3,7,46,20,43.5,1.52,0.66,0.15,0.35,22.2,3,0,0,3.7,3.7,0.08,+3.3,+3.3,Serie A,17,7,13,2,2,11,38,28.9,27,7,3,4,17,34,32,0,Midfielder,72.9,19672,6882,91.5,73.3,43.5,4,4.7,4.9,57,98,55,30,135,1.17,41,46,-5,-0.17,+1.00,30.3,50.1,-19.8,-0.65,+0.73,antonio-candreva87,Italy,Right Midfield,right,180.0,1500000,0.0,Summer,17.271
196,Domen Črnigoj,Salernitana,26,95,3.3,0,1,0,0.0,0.30,0.00,0.00,,6.9,0,0,0,0.1,0.1,0.10,-0.1,-0.1,Serie A,8,3,0,7,1,1,2,50.0,1,9,1,8,9,17,6,0,Midfielder,71.2,1189,263,76.4,86.1,40.0,0,0.4,0.6,2,8,0,0,3,1.14,1,3,-2,-0.61,-0.26,2.0,5.3,-3.3,-1.00,-0.21,domen-crnigoj95,Slovenia,Central Midfield,right,188.0,1500000,0.0,Winter,0.4290000000000004
197,Flavius Daniliuc,Salernitana,21,01,24.4,0,10,4,40.0,0.41,0.16,0.00,0.00,13.1,1,0,0,0.6,0.6,0.07,-0.6,-0.6,Serie A,57,29,37,17,3,26,47,55.3,21,30,13,17,29,86,76,0,Defender,86.0,18211,7113,90.8,90.6,66.0,2,0.5,0.2,7,56,2,0,70,1.00,29,39,-10,-0.41,-0.12,22.4,43.4,-21.0,-0.86,-0.17,flavius-daniliuc01,Austria,Centre-Back,right,188.0,8000000,5000000.0,Summer,-0.9759999999999968
198,Boulaye Dia,Salernitana,25,96,28.0,16,47,21,44.7,1.68,0.75,0.32,0.71,15.0,0,1,1,8.8,8.0,0.17,+7.2,+7.0,Serie A,12,5,3,6,3,2,7,28.6,5,10,0,10,7,19,27,1,Forward,76.2,6689,1268,82.9,80.4,74.4,6,3.1,1.9,35,31,16,2,50,1.09,40,46,-6,-0.21,+0.58,26.9,47.3,-20.4,-0.73,+0.28,boulaye-dia96,France,Centre-Forward,right,180.0,14000000,1000000.0,Summer,4.48
199,Grigoris Kastanos,Salernitana,24,98,14.3,2,30,9,30.0,2.10,0.63,0.07,0.22,22.2,0,0,0,1.9,1.9,0.06,+0.1,+0.1,Serie A,39,23,18,19,2,16,40,40.0,24,20,6,14,8,47,8,0,Midfielder,74.1,6840,2528,90.0,71.8,48.1,1,0.6,0.9,13,47,11,3,57,1.04,20,24,-4,-0.28,+0.14,13.1,27.7,-14.6,-1.02,-0.35,grigoris-kastanos98,Cyprus,Central Midfield,left,179.0,1300000,300000.0,Summer,6.578000000000001
200,Matteo Lovato,Salernitana,22,00,9.0,0,1,0,0.0,0.11,0.00,0.00,,22.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Serie A,17,14,14,3,0,10,25,40.0,15,8,5,3,13,30,33,2,Defender,84.3,5071,1760,88.4,87.7,68.2,0,0.0,0.0,0,8,0,0,8,1.06,11,22,-11,-1.22,-1.11,8.3,19.3,-11.1,-1.22,-0.56,matteo-lovato00,Italy,Centre-Back,right,188.0,6500000,7000000.0,Summer,-7.649999999999999
201,Giulio Maggiore,Salernitana,24,98,9.9,0,6,0,0.0,0.60,0.00,0.00,,16.7,0,0,0,0.5,0.5,0.08,-0.5,-0.5,Serie A,20,8,11,6,3,10,21,47.6,11,19,4,15,8,28,10,0,Midfielder,74.4,5873,1564,79.8,85.9,49.3,0,0.5,0.6,3,35,11,0,53,1.00,15,14,+1,0.1,+0.64,12.3,14.8,-2.5,-0.25,+0.74,giulio-maggiore98,Italy,Central Midfield,right,184.0,7500000,4500000.0,Summer,8.316
202,Pasquale Mazzocchi,Salernitana,27,95,21.8,2,18,6,33.3,0.83,0.28,0.11,0.33,21.0,1,0,0,1.3,1.3,0.07,+0.7,+0.7,Serie A,32,18,21,5,6,17,37,45.9,20,10,2,8,10,42,37,2,Defender,74.0,11136,3985,90.9,72.3,45.9,3,2.6,2.0,30,37,21,12,60,1.30,28,34,-6,-0.28,+0.22,21.9,34.7,-12.8,-0.59,+0.50,pasquale-mazzocchi95,Italy,Right-Back,right,183.0,5000000,1000000.0,Summer,1.9620000000000017
203,Hans Nicolussi Caviglia,Salernitana,22,00,6.5,1,5,1,20.0,0.77,0.15,0.20,1.00,23.4,0,0,0,0.4,0.4,0.09,+0.6,+0.6,Serie A,15,6,5,8,2,9,15,60.0,6,9,0,9,7,22,7,1,Midfielder,74.2,3241,951,82.2,79.0,58.6,0,0.0,0.1,2,21,0,0,19,1.00,6,17,-11,-1.69,-1.59,6.2,12.8,-6.7,-1.02,-0.27,hans-nicolussi-caviglia00,Italy,Central Midfield,right,184.0,2000000,0.0,Winter,-6.174999999999998
204,Lorenzo Pirola,Salernitana,20,02,21.6,2,13,2,15.4,0.60,0.09,0.15,1.00,11.5,0,0,0,1.5,1.5,0.11,+0.5,+0.5,Serie A,33,29,18,14,1,19,27,70.4,8,50,35,15,30,63,85,1,Defender,79.9,14168,5069,90.1,84.9,51.2,0,0.4,0.4,3,43,4,0,43,1.12,25,38,-13,-0.6,-0.54,17.2,35.2,-18.0,-0.83,-0.07,lorenzo-pirola02,Italy,Centre-Back,left,188.0,3000000,900000.0,Summer,-4.967999999999997
